,Name,Season,Tag,Team,Salary,role,bat_type,bowl_type,nationality,player2,team,bowl_type2
1957,Imtiaz Ahmed,2013,,Chennai Super Kings,"10,00,000",Wicketkeeper Batsman,Right Handed Bat,Right-arm offbreak,India,Imtiaz Ahmed,2013-Chennai Super Kings,Spin
2196,Baba Aparajith,2013,,Chennai Super Kings,"10,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Baba Aparajith,2013-Chennai Super Kings,Spin
1125,Johan Botha,2013,,Delhi Daredevils,"2,39,71,500",Allrounder,Right Handed Bat,Right-arm offbreak,South Africa,Johan Botha,2013-Delhi Daredevils,Spin
397,Virender Sehwag,2013,,Delhi Daredevils,"8,28,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Virender Sehwag,2013-Delhi Daredevils,Spin
508,Yogesh Nagar,2013,,Delhi Daredevils,"20,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Yogesh Nagar,2013-Delhi Daredevils,Spin
1030,Venugopal Rao,2013,,Delhi Daredevils,"3,22,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Venugopal Rao,2013-Delhi Daredevils,Spin
1341,Kedar Jadhav,2013,,Delhi Daredevils,"20,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Kedar Jadhav,2013-Delhi Daredevils,Spin
1760,Unmukt Chand,2013,,Delhi Daredevils,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Unmukt Chand,2013-Delhi Daredevils,Spin
2034,Manpreet Juneja,2013,,Delhi Daredevils,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Manpreet Juneja,2013-Delhi Daredevils,Spin
1399,Kevin Pietersen,2013,,Delhi Daredevils,NA,Batsman,Right Handed Bat,Right-arm offbreak,England,Kevin Pietersen,2013-Delhi Daredevils,Spin
2320,Sachithra Senanayake,2013,,Kolkata Knight Riders,"3,32,93,750",Bowler,Right Handed Bat,Right-arm offbreak,Sri Lanka,Sachithra Senanayake,2013-Kolkata Knight Riders,Spin
215,Yusuf Pathan,2013,,Kolkata Knight Riders,"9,66,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Yusuf Pathan,2013-Kolkata Knight Riders,Spin
1023,Rohit Sharma,2013,,Mumbai Indians,"9,20,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rohit Sharma,2013-Mumbai Indians,Spin
589,Harbhajan Singh,2013,,Mumbai Indians,"5,98,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Harbhajan Singh,2013-Mumbai Indians,Spin
1559,Ambati Rayudu,2013,,Mumbai Indians,"30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Ambati Rayudu,2013-Mumbai Indians,Spin
2069,Glenn Maxwell,2013,,Mumbai Indians,"5,32,70,000",Allrounder,Right Handed Bat,Right-arm offbreak,Australia,Glenn Maxwell,2013-Mumbai Indians,Spin
2175,Marlon Samuels,2013,,Pune Warriors India,"53,27,000",Batsman,Right Handed Bat,Right-arm offbreak,West Indies,Marlon Samuels,2013-Pune Warriors India,Spin
822,Ajantha Mendis,2013,,Pune Warriors India,"3,86,20,750",Bowler,Right Handed Bat,Right-arm offbreak,Sri Lanka,Ajantha Mendis,2013-Pune Warriors India,Spin
983,Ross Taylor,2013,Transfer,Pune Warriors India,"5,32,70,000",Batsman,Right Handed Bat,Right-arm offbreak,New Zealand,Ross Taylor,2013-Pune Warriors India,Spin
487,Mithun Manhas,2013,,Pune Warriors India,"30,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Mithun Manhas,2013-Pune Warriors India,Spin
1424,Tirumalasetti Suman,2013,,Pune Warriors India,"20,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Tirumalasetti Suman,2013-Pune Warriors India,Spin
2377,Parvez Rasool,2013,,Pune Warriors India,"10,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Parvez Rasool,2013-Pune Warriors India,Spin
570,Siddharth Chitnis,2013,,Punjab Kings,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Siddharth Chitnis,2013-Punjab Kings,Spin
2009,Gurkeerat Mann Singh,2013,,Punjab Kings,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Gurkeerat Mann Singh,2013-Punjab Kings,Spin
2014,Parvinder Awana,2013,,Punjab Kings,"20,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Parvinder Awana,2013-Punjab Kings,Spin
780,David Hussey,2013,,Punjab Kings,"7,45,78,000",Allrounder,Right Handed Bat,Right-arm offbreak,Australia,David Hussey,2013-Punjab Kings,Spin
883,Rahul Dravid,2013,,Rajasthan Royals,"2,30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rahul Dravid,2013-Rajasthan Royals,Spin
1763,Ajit Chandila,2013,,Rajasthan Royals,"30,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ajit Chandila,2013-Rajasthan Royals,Spin
1223,Owais Shah,2013,,Rajasthan Royals,NA,Batsman,Right Handed Bat,Right-arm offbreak,England,Owais Shah,2013-Rajasthan Royals,Spin
773,Brad Hodge,2013,,Rajasthan Royals,"2,53,03,250",Batsman,Right Handed Bat,Right-arm offbreak,Australia,Brad Hodge,2013-Rajasthan Royals,Spin
103,Muttiah Muralitharan,2013,,Royal Challengers Bangalore,"1,01,20,000",Bowler,Right Handed Bat,Right-arm offbreak,Sri Lanka,Muttiah Muralitharan,2013-Royal Challengers Bangalore,Spin
442,Tillakaratne Dilshan,2013,,Royal Challengers Bangalore,"3,46,25,500",Allrounder,Right Handed Bat,Right-arm offbreak,Sri Lanka,Tillakaratne Dilshan,2013-Royal Challengers Bangalore,Spin
2145,Karun Nair,2013,,Royal Challengers Bangalore,"8,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Karun Nair,2013-Royal Challengers Bangalore,Spin
1966,Nathan McCullum,2013,,Sunrisers Hyderabad,"53,27,000",Bowler,Right Handed Bat,Right-arm offbreak,New Zealand,Nathan McCullum,2013-Sunrisers Hyderabad,Spin
2364,Thalaivan Sargunam,2013,,Sunrisers Hyderabad,"10,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Thalaivan Sargunam,2013-Sunrisers Hyderabad,Spin
2367,Hanuma Vihari,2013,,Sunrisers Hyderabad,"8,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Hanuma Vihari,2013-Sunrisers Hyderabad,Spin
70,Ravichandran Ashwin,2014,,Chennai Super Kings,"7,50,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ravichandran Ashwin,2014-Chennai Super Kings,Spin
486,Mithun Manhas,2014,,Chennai Super Kings,"30,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Mithun Manhas,2014-Chennai Super Kings,Spin
2195,Baba Aparajith,2014,,Chennai Super Kings,"10,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Baba Aparajith,2014-Chennai Super Kings,Spin
779,David Hussey,2014,,Chennai Super Kings,"50,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,Australia,David Hussey,2014-Chennai Super Kings,Spin
982,Ross Taylor,2014,,Delhi Daredevils,"2,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,New Zealand,Ross Taylor,2014-Delhi Daredevils,Spin
1117,Murali Vijay,2014,,Delhi Daredevils,"5,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Murali Vijay,2014-Delhi Daredevils,Spin
1340,Kedar Jadhav,2014,,Delhi Daredevils,"2,00,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Kedar Jadhav,2014-Delhi Daredevils,Spin
2433,Jayant Yadav,2014,,Delhi Daredevils,"10,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Jayant Yadav,2014-Delhi Daredevils,Spin
2443,Milind Kumar,2014,,Delhi Daredevils,"10,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Milind Kumar,2014-Delhi Daredevils,Spin
1398,Kevin Pietersen,2014,,Delhi Daredevils,"9,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,England,Kevin Pietersen,2014-Delhi Daredevils,Spin
214,Yusuf Pathan,2014,,Kolkata Knight Riders,"3,25,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Yusuf Pathan,2014-Kolkata Knight Riders,Spin
1022,Rohit Sharma,2014,,Mumbai Indians,"12,50,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rohit Sharma,2014-Mumbai Indians,Spin
588,Harbhajan Singh,2014,,Mumbai Indians,"5,50,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Harbhajan Singh,2014-Mumbai Indians,Spin
1558,Ambati Rayudu,2014,,Mumbai Indians,"4,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Ambati Rayudu,2014-Mumbai Indians,Spin
396,Virender Sehwag,2014,,Punjab Kings,"3,20,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Virender Sehwag,2014-Punjab Kings,Spin
2008,Gurkeerat Mann Singh,2014,,Punjab Kings,"1,30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Gurkeerat Mann Singh,2014-Punjab Kings,Spin
2013,Parvinder Awana,2014,,Punjab Kings,"65,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Parvinder Awana,2014-Punjab Kings,Spin
2422,Shivam Sharma,2014,,Punjab Kings,"10,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Shivam Sharma,2014-Punjab Kings,Spin
2068,Glenn Maxwell,2014,,Punjab Kings,"6,00,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,Australia,Glenn Maxwell,2014-Punjab Kings,Spin
1759,Unmukt Chand,2014,,Rajasthan Royals,"65,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Unmukt Chand,2014-Rajasthan Royals,Spin
2144,Karun Nair,2014,,Rajasthan Royals,"75,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Karun Nair,2014-Rajasthan Royals,Spin
2395,Deepak Hooda,2014,,Rajasthan Royals,"40,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Deepak Hooda,2014-Rajasthan Royals,Spin
772,Brad Hodge,2014,,Rajasthan Royals,"2,40,00,000",Batsman,Right Handed Bat,Right-arm offbreak,Australia,Brad Hodge,2014-Rajasthan Royals,Spin
102,Muttiah Muralitharan,2014,,Royal Challengers Bangalore,"1,00,00,000",Bowler,Right Handed Bat,Right-arm offbreak,Sri Lanka,Muttiah Muralitharan,2014-Royal Challengers Bangalore,Spin
2499,Brendan Taylor,2014,,Sunrisers Hyderabad,"30,00,000",Wicketkeeper Batsman,Right Handed Bat,Right-arm offbreak,Zimbabwe,Brendan Taylor,2014-Sunrisers Hyderabad,Spin
1029,Venugopal Rao,2014,,Sunrisers Hyderabad,"55,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Venugopal Rao,2014-Sunrisers Hyderabad,Spin
2033,Manpreet Juneja,2014,,Sunrisers Hyderabad,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Manpreet Juneja,2014-Sunrisers Hyderabad,Spin
2376,Parvez Rasool,2014,,Sunrisers Hyderabad,"95,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Parvez Rasool,2014-Sunrisers Hyderabad,Spin
69,Ravichandran Ashwin,2015,,Chennai Super Kings,"7,50,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ravichandran Ashwin,2015-Chennai Super Kings,Spin
485,Mithun Manhas,2015,,Chennai Super Kings,"30,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Mithun Manhas,2015-Chennai Super Kings,Spin
2194,Baba Aparajith,2015,,Chennai Super Kings,"10,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Baba Aparajith,2015-Chennai Super Kings,Spin
1339,Kedar Jadhav,2015,,Delhi Daredevils,"2,00,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Kedar Jadhav,2015-Delhi Daredevils,Spin
2432,Jayant Yadav,2015,,Delhi Daredevils,"10,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Jayant Yadav,2015-Delhi Daredevils,Spin
1124,Johan Botha,2015,,Kolkata Knight Riders,"1,00,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,South Africa,Johan Botha,2015-Kolkata Knight Riders,Spin
213,Yusuf Pathan,2015,,Kolkata Knight Riders,"3,25,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Yusuf Pathan,2015-Kolkata Knight Riders,Spin
1021,Rohit Sharma,2015,,Mumbai Indians,"12,50,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rohit Sharma,2015-Mumbai Indians,Spin
587,Harbhajan Singh,2015,,Mumbai Indians,"5,50,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Harbhajan Singh,2015-Mumbai Indians,Spin
1557,Ambati Rayudu,2015,,Mumbai Indians,"4,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Ambati Rayudu,2015-Mumbai Indians,Spin
1758,Unmukt Chand,2015,,Mumbai Indians,"65,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Unmukt Chand,2015-Mumbai Indians,Spin
2554,Akshay Wakhare,2015,,Mumbai Indians,"10,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Akshay Wakhare,2015-Mumbai Indians,Spin
2568,Siddhesh Lad,2015,,Mumbai Indians,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Siddhesh Lad,2015-Mumbai Indians,Spin
395,Virender Sehwag,2015,,Punjab Kings,"3,20,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Virender Sehwag,2015-Punjab Kings,Spin
2007,Gurkeerat Mann Singh,2015,,Punjab Kings,"1,30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Gurkeerat Mann Singh,2015-Punjab Kings,Spin
1116,Murali Vijay,2015,,Punjab Kings,"3,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Murali Vijay,2015-Punjab Kings,Spin
2012,Parvinder Awana,2015,,Punjab Kings,"65,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Parvinder Awana,2015-Punjab Kings,Spin
2421,Shivam Sharma,2015,,Punjab Kings,"10,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Shivam Sharma,2015-Punjab Kings,Spin
2067,Glenn Maxwell,2015,,Punjab Kings,"6,00,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,Australia,Glenn Maxwell,2015-Punjab Kings,Spin
2143,Karun Nair,2015,,Rajasthan Royals,"75,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Karun Nair,2015-Rajasthan Royals,Spin
2394,Deepak Hooda,2015,,Rajasthan Royals,"40,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Deepak Hooda,2015-Rajasthan Royals,Spin
2599,S Badrinath,2015,,Royal Challengers Bangalore,"30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Subramaniam Badrinath,2015-Royal Challengers Bangalore,Spin
2627,Kane Williamson,2015,,Sunrisers Hyderabad,"60,00,000",Batsman,Right Handed Bat,Right-arm offbreak,New Zealand,Kane Williamson,2015-Sunrisers Hyderabad,Spin
2366,Hanuma Vihari,2015,,Sunrisers Hyderabad,"10,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Hanuma Vihari,2015-Sunrisers Hyderabad,Spin
2375,Parvez Rasool,2015,,Sunrisers Hyderabad,"95,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Parvez Rasool,2015-Sunrisers Hyderabad,Spin
1397,Kevin Pietersen,2015,,Sunrisers Hyderabad,"2,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,England,Kevin Pietersen,2015-Sunrisers Hyderabad,Spin
2142,Karun Nair,2016,,Delhi Daredevils,"4,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Karun Nair,2016-Delhi Daredevils,Spin
2431,Jayant Yadav,2016,,Delhi Daredevils,"10,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Jayant Yadav,2016-Delhi Daredevils,Spin
2664,Umang Sharma,2016,,Gujarat Lions,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Umang Sharma,2016-Gujarat Lions,Spin
212,Yusuf Pathan,2016,,Kolkata Knight Riders,"3,25,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Yusuf Pathan,2016-Kolkata Knight Riders,Spin
2722,Martin Guptill,2016,Replacement,Mumbai Indians,"50,00,000",Batsman,Right Handed Bat,Right-arm offbreak,New Zealand,Martin Guptill,2016-Mumbai Indians,Spin
1020,Rohit Sharma,2016,,Mumbai Indians,"12,50,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rohit Sharma,2016-Mumbai Indians,Spin
586,Harbhajan Singh,2016,,Mumbai Indians,"5,50,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Harbhajan Singh,2016-Mumbai Indians,Spin
1556,Ambati Rayudu,2016,,Mumbai Indians,"4,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Ambati Rayudu,2016-Mumbai Indians,Spin
1757,Unmukt Chand,2016,,Mumbai Indians,"65,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Unmukt Chand,2016-Mumbai Indians,Spin
2553,Akshay Wakhare,2016,,Mumbai Indians,"10,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Akshay Wakhare,2016-Mumbai Indians,Spin
2567,Siddhesh Lad,2016,,Mumbai Indians,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Siddhesh Lad,2016-Mumbai Indians,Spin
2006,Gurkeerat Mann Singh,2016,,Punjab Kings,"1,30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Gurkeerat Mann Singh,2016-Punjab Kings,Spin
1115,Murali Vijay,2016,,Punjab Kings,"3,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Murali Vijay,2016-Punjab Kings,Spin
2667,Armaan Jaffer,2016,,Punjab Kings,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Armaan Jaffer,2016-Punjab Kings,Spin
2066,Glenn Maxwell,2016,,Punjab Kings,"6,00,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,Australia,Glenn Maxwell,2016-Punjab Kings,Spin
68,Ravichandran Ashwin,2016,,Rising Pune Supergiant,"7,50,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ravichandran Ashwin,2016-Rising Pune Supergiant,Spin
2193,Baba Aparajith,2016,,Rising Pune Supergiant,"10,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Baba Aparajith,2016-Rising Pune Supergiant,Spin
1396,Kevin Pietersen,2016,Withdrew,Rising Pune Supergiant,"3,50,00,000",Batsman,Right Handed Bat,Right-arm offbreak,England,Kevin Pietersen,2016-Rising Pune Supergiant,Spin
1338,Kedar Jadhav,2016,Transfer,Royal Challengers Bangalore,"2,17,50,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Kedar Jadhav,2016-Royal Challengers Bangalore,Spin
2374,Parvez Rasool,2016,Transfer,Royal Challengers Bangalore,"95,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Parvez Rasool,2016-Royal Challengers Bangalore,Spin
2626,Kane Williamson,2016,,Sunrisers Hyderabad,"60,00,000",Batsman,Right Handed Bat,Right-arm offbreak,New Zealand,Kane Williamson,2016-Sunrisers Hyderabad,Spin
1423,Tirumalasetti Suman,2016,,Sunrisers Hyderabad,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Tirumalasetti Suman,2016-Sunrisers Hyderabad,Spin
2393,Deepak Hooda,2016,,Sunrisers Hyderabad,"4,20,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Deepak Hooda,2016-Sunrisers Hyderabad,Spin
2174,Marlon Samuels,2017,Replacement,Delhi Daredevils,"1,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,West Indies,Marlon Samuels,2017-Delhi Daredevils,Spin
2141,Karun Nair,2017,,Delhi Daredevils,"4,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Karun Nair,2017-Delhi Daredevils,Spin
2430,Jayant Yadav,2017,,Delhi Daredevils,"10,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Jayant Yadav,2017-Delhi Daredevils,Spin
2824,Shashank Singh,2017,,Delhi Daredevils,"10,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Shashank Singh,2017-Delhi Daredevils,Spin
2808,Ankit Bawne,2017,,Delhi Daredevils,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Ankit Bawne,2017-Delhi Daredevils,Spin
2779,Chirag Suri,2017,,Gujarat Lions,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,United Arab Emirates,Chirag Suri,2017-Gujarat Lions,Spin
2721,Martin Guptill,2017,,Kings XI Punjab,"50,00,000",Batsman,Right Handed Bat,Right-arm offbreak,New Zealand,Martin Guptill,2017-Kings XI Punjab,Spin
211,Yusuf Pathan,2017,,Kolkata Knight Riders,"3,25,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Yusuf Pathan,2017-Kolkata Knight Riders,Spin
1019,Rohit Sharma,2017,,Mumbai Indians,"12,50,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Rohit Sharma,2017-Mumbai Indians,Spin
585,Harbhajan Singh,2017,,Mumbai Indians,"5,50,00,000",Bowler,Right Handed Bat,Right-arm offbreak,India,Harbhajan Singh,2017-Mumbai Indians,Spin
1555,Ambati Rayudu,2017,,Mumbai Indians,"4,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Ambati Rayudu,2017-Mumbai Indians,Spin
2566,Siddhesh Lad,2017,,Mumbai Indians,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Siddhesh Lad,2017-Mumbai Indians,Spin
2830,Krishnappa Gowtham,2017,,Mumbai Indians,"2,00,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Krishnappa Gowtham,2017-Mumbai Indians,Spin
2005,Gurkeerat Mann Singh,2017,,Punjab Kings,"1,30,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Gurkeerat Mann Singh,2017-Punjab Kings,Spin
1114,Murali Vijay,2017,Injured,Punjab Kings,"3,00,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Murali Vijay,2017-Punjab Kings,Spin
2666,Armaan Jaffer,2017,,Punjab Kings,"10,00,000",Batsman,Right Handed Bat,Right-arm offbreak,India,Armaan Jaffer,2017-Punjab Kings,Spin
2065,Glenn Maxwell,2017,,Punjab Kings,"6,00,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,Australia,Glenn Maxwell,2017-Punjab Kings,Spin
67,Ravichandran Ashwin,2017,Injured,Rising Pune Supergiant,"7,50,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Ravichandran Ashwin,2017-Rising Pune Supergiant,Spin
2192,Baba Aparajith,2017,,Rising Pune Supergiant,"10,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Baba Aparajith,2017-Rising Pune Supergiant,Spin
2759,Milind Tandon,2017,,Rising Pune Supergiant,"10,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Milind Tandon,2017-Rising Pune Supergiant,Spin
1337,Kedar Jadhav,2017,,Royal Challengers Bangalore,"2,17,50,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Kedar Jadhav,2017-Royal Challengers Bangalore,Spin
2625,Kane Williamson,2017,,Sunrisers Hyderabad,"60,00,000",Batsman,Right Handed Bat,Right-arm offbreak,New Zealand,Kane Williamson,2017-Sunrisers Hyderabad,Spin
2392,Deepak Hooda,2017,,Sunrisers Hyderabad,"4,20,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,India,Deepak Hooda,2017-Sunrisers Hyderabad,Spin
2873,Mohammad Nabi,2017,,Sunrisers Hyderabad,"30,00,000",Allrounder,Right Handed Bat,Right-arm offbreak,Afghanistan,Mohammad Nabi,2017-Sunrisers Hyderabad,Spin
